id,value_550
3,0.092
25,0.092
26,0.092
27,0.092
29,0.092
30,0.092
33,0.092
34,0.092
36,0.092
41,0.092
52,0.092
71,0.092
75,0.092
77,0.092
80,0.092
85,0.092
87,0.092
95,0.092
98,0.092
110,0.092
114,0.092
124,0.092
128,0.092
129,0.092
141,0.092
151,0.092
161,0.092
167,0.092
170,0.092
172,0.092
174,0.092
179,0.092
182,0.092
188,0.092
190,0.092
192,0.092
193,0.092
195,0.092
198,0.092
199,0.092
210,0.092
212,0.092
219,0.092
221,0.092
229,0.092
232,0.092
233,0.092
237,0.092
240,0.092
249,0.092
254,0.092
256,0.092
258,0.092
263,0.092
264,0.092
266,0.092
268,0.092
272,0.092
274,0.092
276,0.092
282,0.092
284,0.092
287,0.092
291,0.092
293,0.092
297,0.092
301,0.092
309,0.092
311,0.092
312,0.092
313,0.092
320,0.092
323,0.092
324,0.092
330,0.092
336,0.092
343,0.092
352,0.092
353,0.092
366,0.092
367,0.092
368,0.092
371,0.092
375,0.092
381,0.092
389,0.092
390,0.092
395,0.092
396,0.092
398,0.092
404,0.092
407,0.092
409,0.092
411,0.092
418,0.092
423,0.092
429,0.092
442,0.092
443,0.092
446,0.092
448,0.092
453,0.092
454,0.092
455,0.092
460,0.092
466,0.092
470,0.092
479,0.092
484,0.092
488,0.092
497,0.092
504,0.092
510,0.092
516,0.092
522,0.092
523,0.092
537,0.092
550,0.092
563,0.092
564,0.092
565,0.092
566,0.092
571,0.092
572,0.092
576,0.092
588,0.092
592,0.092
598,0.092
612,0.092
613,0.092
616,0.092
618,0.092
625,0.092
627,0.092
642,0.092
645,0.092
650,0.092
661,0.092
662,0.092
663,0.092
671,0.092
682,0.092
690,0.092
696,0.092
697,0.092
698,0.092
703,0.092
705,0.092
706,0.092
710,0.092
713,0.092
722,0.092
730,0.092
734,0.092
740,0.092
744,0.092
746,0.092
755,0.092
758,0.092
759,0.092
765,0.092
773,0.092
774,0.092
778,0.092
779,0.092
781,0.092
782,0.092
788,0.092
789,0.092
791,0.092
796,0.092
797,0.092
798,0.092
799,0.092
805,0.092
806,0.092
807,0.092
816,0.092
822,0.092
829,0.092
830,0.092
838,0.092
840,0.092
845,0.092
852,0.092
858,0.092
874,0.092
884,0.092
898,0.092
909,0.092
915,0.092
921,0.092
923,0.092
927,0.092
934,0.092
945,0.092
946,0.092
951,0.092
953,0.092
959,0.092
961,0.092
964,0.092
972,0.092
973,0.092
975,0.092
977,0.092
981,0.092
984,0.092
987,0.092
1000,0.092
1008,0.092
1016,0.092
1023,0.092
1032,0.092
1035,0.092
1036,0.092
1057,0.092
1061,0.092
1063,0.092
1064,0.092
1090,0.092
1102,0.092
1103,0.092
1105,0.092
1108,0.092
1113,0.092
1121,0.092
1124,0.092
1126,0.092
1127,0.092
1129,0.092
1132,0.092
1138,0.092
1158,0.092
1162,0.092
1165,0.092
1166,0.092
1185,0.092
1188,0.092
1194,0.092
1199,0.092
1210,0.092
1228,0.092
1231,0.092
1233,0.092
1235,0.092
1240,0.092
1243,0.092
1249,0.092
1251,0.092
1252,0.092
1256,0.092
1263,0.092
1268,0.092
1270,0.092
1271,0.092
1274,0.092
1276,0.092
1278,0.092
1282,0.092
1287,0.092
1288,0.092
1294,0.092
1296,0.092
1297,0.092
1316,0.092
1319,0.092
1321,0.092
1324,0.092
1326,0.092
1330,0.092
1333,0.092
1341,0.092
1343,0.092
1345,0.092
1348,0.092
1353,0.092
1355,0.092
1358,0.092
1365,0.092
1368,0.092
1369,0.092
1381,0.092
1404,0.092
1408,0.092
1422,0.092
1423,0.092
1432,0.092
1448,0.092
1452,0.092
1453,0.092
1459,0.092
1472,0.092
1478,0.092
1483,0.092
1484,0.092
1492,0.092
1501,0.092
1502,0.092
1512,0.092
1529,0.092
1538,0.092
1539,0.092
1540,0.092
1547,0.092
1551,0.092
1552,0.092
1558,0.092
1565,0.092
1566,0.092
1567,0.092
1574,0.092
1575,0.092
1578,0.092
1580,0.092
1581,0.092
1584,0.092
1600,0.092
1604,0.092
1605,0.092
1611,0.092
1612,0.092
1614,0.092
1616,0.092
1617,0.092
1626,0.092
1634,0.092
1635,0.092
1641,0.092
1656,0.092
1664,0.092
1665,0.092
1672,0.092
1676,0.092
1683,0.092
1692,0.092
1695,0.092
1696,0.092
1700,0.092
1701,0.092
1704,0.092
1706,0.092
1712,0.092
1713,0.092
1721,0.092
1722,0.092
1737,0.092
1739,0.092
1740,0.092
1743,0.092
1746,0.092
1747,0.092
1756,0.092
1763,0.092
1768,0.092
1772,0.092
1774,0.092
1785,0.092
1786,0.092
1790,0.092
1795,0.092
1798,0.092
1802,0.092
1805,0.092
1808,0.092
1812,0.092
1814,0.092
1816,0.092
1821,0.092
1823,0.092
1828,0.092
1831,0.092
1834,0.092
1853,0.092
1856,0.092
1876,0.092
1877,0.092
1881,0.092
1892,0.092
1901,0.092
1922,0.092
1923,0.092
1926,0.092
1932,0.092
1935,0.092
1941,0.092
1942,0.092
1947,0.092
1958,0.092
1962,0.092
1963,0.092
1979,0.092
1980,0.092
1985,0.092
1995,0.092
1999,0.092
2005,0.092
2009,0.092
2014,0.092
2015,0.092
2016,0.092
2020,0.092
2021,0.092
2028,0.092
2035,0.092
2039,0.092
2040,0.092
2043,0.092
2049,0.092
2052,0.092
2066,0.092
2067,0.092
2071,0.092
2079,0.092
2081,0.092
2082,0.092
2090,0.092
2097,0.092
2098,0.092
2099,0.092
2103,0.092
2111,0.092
2112,0.092
2122,0.092
2123,0.092
2130,0.092
2132,0.092
2141,0.092
2142,0.092
2144,0.092
2159,0.092
2161,0.092
2162,0.092
2164,0.092
2165,0.092
2167,0.092
2171,0.092
2174,0.092
2175,0.092
2176,0.092
2179,0.092
2180,0.092
2189,0.092
2194,0.092
2196,0.092
2202,0.092
2206,0.092
2209,0.092
2214,0.092
2216,0.092
2222,0.092
2231,0.092
2237,0.092
2238,0.092
2239,0.092
2240,0.092
2242,0.092
2254,0.092
2255,0.092
2256,0.092
2271,0.092
2273,0.092
2275,0.092
2278,0.092
2280,0.092
2289,0.092
2292,0.092
2296,0.092
2299,0.092
2302,0.092
2312,0.092
2313,0.092
2318,0.092
2319,0.092
2330,0.092
2334,0.092
2338,0.092
2342,0.092
2345,0.092
2348,0.092
2349,0.092
2350,0.092
2353,0.092
2356,0.092
2372,0.092
2378,0.092
2381,0.092
2382,0.092
2383,0.092
2385,0.092
2398,0.092
2403,0.092
2409,0.092
2414,0.092
2423,0.092
2424,0.092
2426,0.092
2431,0.092
2450,0.092
2456,0.092
2457,0.092
2459,0.092
2461,0.092
2462,0.092
2468,0.092
2476,0.092
2493,0.092
2494,0.092
2495,0.092
2505,0.092
2521,0.092
2523,0.092
2528,0.092
2533,0.092
2536,0.092
2546,0.092
2548,0.092
2556,0.092
2558,0.092
2561,0.092
2570,0.092
2571,0.092
2573,0.092
2590,0.092
2594,0.092
2595,0.092
2598,0.092
2602,0.092
2609,0.092
2610,0.092
2614,0.092
2616,0.092
2617,0.092
2629,0.092
2631,0.092
2634,0.092
2635,0.092
2640,0.092
2641,0.092
2646,0.092
2648,0.092
2649,0.092
2657,0.092
2688,0.092
2697,0.092
2702,0.092
2708,0.092
2714,0.092
2723,0.092
2726,0.092
2727,0.092
2732,0.092
2734,0.092
2736,0.092
2737,0.092
2744,0.092
2748,0.092
2751,0.092
2752,0.092
2754,0.092
2755,0.092
2756,0.092
2757,0.092
2762,0.092
2777,0.092
2785,0.092
2788,0.092
2791,0.092
2796,0.092
2803,0.092
2812,0.092
2821,0.092
2835,0.092
2837,0.092
2845,0.092
2847,0.092
2848,0.092
2853,0.092
2854,0.092
2857,0.092
2859,0.092
2860,0.092
2861,0.092
2875,0.092
2877,0.092
2880,0.092
2885,0.092
2887,0.092
2903,0.092
2906,0.092
2908,0.092
2913,0.092
2914,0.092
2917,0.092
2925,0.092
2927,0.092
2931,0.092
2933,0.092
2934,0.092
2938,0.092
2946,0.092
2947,0.092
2949,0.092
2969,0.092
2975,0.092
2977,0.092
2978,0.092
2992,0.092
2993,0.092
3008,0.092
3011,0.092
3012,0.092
3017,0.092
3023,0.092
3036,0.092
3038,0.092
3040,0.092
3044,0.092
3045,0.092
3049,0.092
3061,0.092
3063,0.092
3068,0.092
3070,0.092
3074,0.092
3092,0.092
3096,0.092
3098,0.092
3101,0.092
3119,0.092
3121,0.092
3124,0.092
3128,0.092
3131,0.092
3132,0.092
3139,0.092
3140,0.092
3142,0.092
3147,0.092
3149,0.092
3155,0.092
3163,0.092
3164,0.092
3173,0.092
3176,0.092
3180,0.092
3183,0.092
3190,0.092
3191,0.092
3199,0.092
3203,0.092
3217,0.092
3219,0.092
3229,0.092
3232,0.092
3238,0.092
3244,0.092
3248,0.092
3250,0.092
3258,0.092
3261,0.092
3264,0.092
3269,0.092
3276,0.092
