id,elevation,ozone,NO2,azimuth,zenith,incidence_azimuth,incidence_zenith,file_name_l1,value_550
1,10,318,0.248,150.6,31.8,286.1,8,AAOT_45-3139_12-5083_COPERNICUS_S2_20180807T101021_20180807T101024_T33TUL.tif,0.277
2,10,302,0.279,161.6,44.2,243.6,3.9,AAOT_45-3139_12-5083_COPERNICUS_S2_20180916T101021_20180916T101512_T32TQR.tif,0.201
4,10,373,0.303,163.5,34.4,103.9,9.8,AAOT_45-3139_12-5083_COPERNICUS_S2_20190421T100031_20190421T100030_T32TQR.tif,0.169
5,10,342,0.271,144.7,25.3,286.2,7.9,AAOT_45-3139_12-5083_COPERNICUS_S2_20190623T101031_20190623T101029_T33TUL.tif,0.107
6,10,327,0.252,140.4,29.4,105.8,7,AAOT_45-3139_12-5083_COPERNICUS_S2_20190720T100031_20190720T100521_T33TUL.tif,0.188
7,10,301,0.503,169,68.4,239.1,3.8,AAOT_45-3139_12-5083_COPERNICUS_S2_20191205T101309_20191205T101308_T32TQR.tif,0.088
8,10,304,0.503,167.2,69.2,286.1,7.9,AAOT_45-3139_12-5083_COPERNICUS_S2_20191210T101411_20191210T101409_T33TUL.tif,0.067
9,10,315,0.481,164,70.2,105.7,7.1,AAOT_45-3139_12-5083_COPERNICUS_S2_20191227T100411_20191227T100411_T33TUL.tif,0.065
10,10,358,0.431,158.4,55.8,286.1,7.9,AAOT_45-3139_12-5083_COPERNICUS_S2_20200228T101021_20200228T101400_T33TUL.tif,0.039
11,10,374,0.32,155.6,40.2,286.1,7.9,AAOT_45-3139_12-5083_COPERNICUS_S2_20200408T101021_20200408T101022_T33TUL.tif,0.041
12,10,315,0.246,147.7,34.5,103.8,9.8,AAOT_45-3139_12-5083_COPERNICUS_S2_20200813T100031_20200813T100224_T32TQR.tif,0.315
13,10,350,0.281,142.4,26.3,103.8,9.8,AAOT_45-3139_12-5083_COPERNICUS_S2_20210609T100031_20210609T100407_T32TQR.tif,0.187
14,10,333,0.258,140.9,27.4,105.8,7,AAOT_45-3139_12-5083_COPERNICUS_S2_20210709T100031_20210709T100409_T33TUL.tif,0.089
15,521,324,0.161,154.5,57,104,6.3,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20180129T083211_20180129T083908_T36SVD.tif,0.073
16,521,343,0.183,143.1,39.1,211,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20180325T082559_20180325T083137_T36SWD.tif,0.18
17,521,342,0.188,136.2,32.7,211.4,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20180414T082559_20180414T083052_T36SWD.tif,0.278
18,521,298,0.188,118.1,23.6,211.4,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20180713T082559_20180713T083635_T36SWD.tif,0.199
19,521,288,0.174,162.9,55.3,211.5,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20181115T083211_20181115T083248_T36SWD.tif,0.096
20,521,293,0.172,163.6,57.5,210.6,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20181125T083251_20181125T083250_T36SWD.tif,0.08
21,521,299,0.168,160.3,60.6,105.1,6.2,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20181210T083329_20181210T083834_T36SVD.tif,0.051
22,521,304,0.166,168.2,59.4,211,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20181220T083349_20181220T083900_T36SWD.tif,0.024
23,521,322,0.192,123.3,20.6,104.2,6.3,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20190603T082601_20190603T083852_T36SVD.tif,0.353
24,521,318,0.191,122.1,20.2,211.6,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20190608T082609_20190608T083224_T36SWD.tif,0.172
28,521,324,0.161,154.6,57.1,104.2,6.3,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20200129T083211_20200129T083246_T36SVD.tif,0.057
31,521,342,0.188,136.3,32.9,210.8,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20200413T082559_20200413T083807_T36SWD.tif,0.155
32,521,340,0.192,120.2,33.9,103.9,6.2,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20200428T082601_20200428T082604_T36SVD.tif,0.091
35,521,291,0.18,133.5,30.7,210.8,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20200821T082609_20200821T083944_T36SWD.tif,0.097
37,521,284,0.167,153.7,45.4,105.2,6.2,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20201010T082759_20201010T083207_T36SVD.tif,0.155
38,521,284,0.167,160.2,47.7,105.2,6.2,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20201020T082909_20201020T083209_T36SVD.tif,0.205
39,521,285,0.169,164,48.7,103.9,6.2,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20201025T083031_20201025T083307_T36SVD.tif,0.169
40,521,286,0.17,157,52.1,211.4,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20201030T083059_20201030T083058_T36SWD.tif,0.19
42,521,295,0.171,159.9,59.3,211.4,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20201129T083309_20201129T083312_T36SWD.tif,0.111
43,521,331,0.162,152.6,53,212.8,3.1,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20210212T083051_20210212T083300_T36SWD.tif,0.195
44,521,341,0.176,141.6,46.9,105.1,6.2,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20210309T082739_20210309T083032_T36SVD.tif,0.486
45,521,343,0.184,138.4,39,105.2,6.3,AgiaMarina_Xyliatou_35-038_33-0577_COPERNICUS_S2_20210329T082559_20210329T083027_T36SVD.tif,0.087
